postcode,electricity_all_meters,electricity_all_consumption_kwh,electricity_standard_meters,electricity_standard_consumption_kwh,electricity_economy7_meters,electricity_economy7_consumption_kwh,gas_meters,gas_consumption_kwh
"M15 5JP",39,231932,,,35,208193,,
"M15 5JQ",26,134348,,,,,,
"M15 5JR",48,276955,,,,,,
"M15 5JS",49,219124,,,,,,
"M15 5JT",,,,,,,,
"M15 5JW",21,37239,17,25917,,,16,81268
"M15 5JX",8,16250,8,16250,,,5,50280
"M15 5JY",9,27336,9,27336,,,6,52312
"M15 5JZ",6,39978,,,6,39978,,
"M15 5LA",17,69559,10,30922,7,38637,10,103993
"M15 5LE",37,116513,,,,,14,123636
"M15 5LL",68,162631,68,162631,,,68,732992
"M15 5LN",25,51989,25,51989,,,24,201716
"M15 5LP",21,76058,21,76058,,,20,291729
"M15 5LQ",15,39070,15,39070,,,14,159785
"M15 5LR",67,191915,62,152978,5,38937,60,391576
"M15 5LX",12,26675,12,26675,,,13,131848
"M15 5LY",10,30427,10,30427,,,6,52565
"M15 5LZ",30,134944,13,33965,17,100978,8,88768
"M15 5NA",28,51793,28,51793,,,27,173239
"M15 5NB",51,108239,51,108239,,,52,304629
"M15 5ND",14,32988,14,32988,,,13,82885
"M15 5NN",,,,,,,,
"M15 5NR",,,,,,,,
"M15 5NX",5,7127,5,7127,,,8,117941
"M15 5NZ",25,68967,25,68967,,,21,154252
"M15 5PB",,,,,,,,
"M15 5PE",11,31063,11,31063,,,6,28132
"M15 5PJ",,,,,,,,
"M15 5PL",11,30678,,,,,9,56534
"M15 5PN",18,42955,,,,,20,130756
"M15 5PQ",41,104620,,,,,48,510175
"M15 5PR",25,63917,18,34778,7,29139,18,107344
"M15 5PS",34,102024,29,70042,5,31982,29,235159
"M15 5PU",23,44256,23,44256,,,25,166562
"M15 5PW",27,68655,27,68655,,,30,250985
"M15 5PX",16,48135,11,25183,5,22952,6,41559
"M15 5PZ",24,53903,24,53903,,,21,228996
"M15 5QH",46,87172,46,87172,,,46,421782
"M15 5QJ",,,,,,,,
"M15 5QQ",13,20831,13,20831,,,12,116820
"M15 5QR",9,13721,9,13721,,,7,52421
"M15 5RA",9,75122,,,,,,
"M15 5RB",6,13072,6,13072,,,,
"M15 5RD",,,,,,,,
"M15 5RE",61,100793,61,100793,,,52,246242
"M15 5RF",6,13401,6,13401,,,10,63129
"M15 5RG",34,179622,,,,,,
"M15 5RH",17,51591,17,51591,,,14,126580
"M15 5RJ",49,140232,43,97549,6,42682,47,415075
"M15 5RL",,,,,,,,
"M15 5RN",,,,,,,,
"M15 5RP",13,38218,,,,,13,112582
"M15 5RS",18,83564,12,41120,6,42444,12,106597
"M15 5SR",16,20884,16,20884,,,15,84050
"M15 5SS",18,48053,18,48053,,,17,191477
"M15 5TA",44,157900,24,66437,20,91463,23,206936
"M15 5TB",7,20174,7,20174,,,7,68213
"M15 5TD",12,30233,,,,,12,125688
"M15 5TE",40,159480,27,65835,13,93645,33,329583
"M15 5TF",21,52890,21,52890,,,21,151199
"M15 5TG",27,60477,,,,,24,216785
"M15 5TH",9,16101,9,16101,,,6,55731
"M15 5TJ",6,18939,6,18939,,,9,122031
"M15 5TL",10,28789,,,,,19,102955
"M15 5TN",48,184320,19,43566,29,140754,17,146261
"M15 5TP",36,219936,,,32,208804,,
"M15 5TQ",30,144092,6,28069,24,116023,,
"M15 5TR",20,57361,,,,,18,157582
"M15 5TS",5,10760,5,10760,,,,
"M15 5TU",,,,,,,,
"M15 5UP",35,106617,35,106617,,,36,327351
"M15 5WB",29,93961,21,43879,8,50082,25,154030
"M15 5WD",,,,,,,,
"M15 5XE",26,143509,,,22,129852,,
"M15 5XF",,,,,,,,
"M15 5YW",36,79802,36,79802,,,39,321336
"M15 5ZA",,,,,,,,
"M15 6AD",,,,,,,,
"M15 6AN",,,,,,,,
"M15 6AQ",53,123669,53,123669,,,47,365311
"M15 6AR",50,294776,50,294776,,,,
"M15 6AX",,,,,,,,
"M15 6AZ",92,571446,10,63058,82,508388,,
"M15 6BB",16,278461,16,278461,,,,
"M15 6BN",,,,,,,,
"M15 6BP",11,37106,11,37106,,,10,125198
"M15 6BQ",,,,,,,,
"M15 6BU",14,21893,14,21893,,,13,76742
"M15 6DH",,,,,,,,
"M15 6DN",24,175759,24,175759,,,,
"M15 6DQ",5,36900,5,36900,,,,
"M15 6DR",,,,,,,,
"M15 6DX",76,116225,54,85507,22,30718,,
"M15 6DZ",64,282561,7,66709,57,215853,,
"M15 6EB",,,,,,,,
"M15 6ED",,,,,,,,
"M15 6EG",6,24531,,,,,6,74225
"M15 6EH",,,,,,,,
"M15 6EJ",8,34089,8,34089,,,7,92960
"M15 6EL",13,40655,13,40655,,,14,142747
"M15 6EN",7,19470,7,19470,,,7,85530
"M15 6EP",65,239723,6,41215,59,198508,,
"M15 6EQ",,,,,,,,
"M15 6EW",11,26825,11,26825,,,11,89880
"M15 6EZ",,,,,,,,
"M15 6FD",56,305299,29,59357,27,245942,29,183449
"M15 6FG",8,30532,8,30532,,,7,143398
"M15 6FH",,,,,,,,
"M15 6FJ",5,29589,5,29589,,,5,39557
"M15 6FL",6,19834,6,19834,,,6,73309
"M15 6FN",13,38228,13,38228,,,14,138773
"M15 6FQ",25,75639,25,75639,,,23,283981
"M15 6FX",,,,,,,,
"M15 6FY",,,,,,,,
"M15 6GA",5,28938,5,28938,,,5,69544
"M15 6GB",,,,,,,,
"M15 6GD",14,42428,14,42428,,,14,137694
"M15 6GE",,,,,,,,
"M15 6GF",17,43547,17,43547,,,17,129305
"M15 6GR",,,,,,,,
"M15 6GS",,,,,,,,
"M15 6GU",,,,,,,,
"M15 6GW",,,,,,,,
"M15 6GX",,,,,,,,
"M15 6GY",,,,,,,,
"M15 6HD",28,70341,28,70341,,,29,232018
"M15 6HN",,,,,,,,
"M15 6HP",,,,,,,,
"M15 6JD",19,95587,,,19,95587,,
"M15 6JF",,,,,,,,
"M15 6JJ",,,,,,,,
"M15 6JN",245,1249853,245,1249853,,,,
"M15 6JP",6,25267,6,25267,,,,
"M15 6JQ",6,22047,6,22047,,,,
"M15 6JR",,,,,,,,
"M15 6JS",,,,,,,,
"M15 6JU",,,,,,,,
"M15 6LD",,,,,,,,
"M15 6LE",14,40734,,,,,14,138755
"M15 6LF",13,31947,13,31947,,,15,130361
"M15 6LR",,,,,,,,
"M15 6NA",,,,,,,,
"M15 6NB",6,12158,6,12158,,,7,75710
"M15 6ND",7,15145,,,,,6,68934
"M15 6NH",5,9432,5,9432,,,5,37306
"M15 6NJ",5,9202,5,9202,,,5,42057
"M15 6NL",8,24267,8,24267,,,8,67395
"M15 6NN",7,16619,7,16619,,,8,95553
"M15 6NQ",39,66387,39,66387,,,30,174211
"M15 6NR",9,18693,9,18693,,,8,71719
"M15 6NS",30,53425,30,53425,,,9,43515
"M15 6NT",,,,,,,,
"M15 6NU",,,,,,,,
"M15 6NW",62,220770,,,,,,
"M15 6PA",,,,,,,,
"M15 6PB",,,,,,,,
"M15 6PF",,,,,,,,
"M15 6PG",,,,,,,,
"M15 6PH",,,,,,,,
"M15 6PJ",,,,,,,,
"M15 6PL",9,26951,9,26951,,,9,71619
"M15 6PN",7,14886,7,14886,,,,
"M15 6PP",,,,,,,,
"M15 6PQ",,,,,,,,
"M15 6PR",,,,,,,,
"M15 6PS",,,,,,,,
"M15 6PT",,,,,,,,
"M15 6PU",,,,,,,,
"M15 6PW",,,,,,,,
"M15 6PX",,,,,,,,
"M15 6PY",,,,,,,,
"M15 6PZ",,,,,,,,
"M15 6QL",41,83231,41,83231,,,38,226324
"M15 6RP",,,,,,,,
"M15 6RS",17,51725,17,51725,,,14,127468
"M15 6SE",,,,,,,,
"M15 6SH",,,,,,,,
"M15 6SS",14,33012,14,33012,,,14,139455
"M15 6SY",,,,,,,,
"M15 6SZ",,,,,,,,
"M15 6TB",9,15778,9,15778,,,10,74962
"M15 6WH",,,,,,,,
"M15 6WJ",5,27601,5,27601,,,5,35641
"M15 6WL",12,43731,12,43731,,,13,181135
"M15 6WN",6,18777,6,18777,,,6,61301
"M15 6WP",,,,,,,,
"M15 6WR",27,54739,27,54739,,,7,30455
"M15 6WS",,,,,,,,
"M15 6XJ",39,58955,39,58955,,,44,244667
"M15 6XL",12,32052,12,32052,,,14,103513
"M16 0PF",,,,,,,,
"M16 0PZ",,,,,,,,
"M16 0RE",,,,,,,,
"M16 0SA",,,,,,,,
"M16 0SD",,,,,,,,
"M16 0TT",,,,,,,,
"M16 0TY",,,,,,,,
"M16 0XL",,,,,,,,
"M16 0YZ",,,,,,,,
"M16 6AG",,,,,,,,
"M16 6AT",,,,,,,,
"M16 6DE",,,,,,,,
"M16 6DR",,,,,,,,
"M16 6DS",,,,,,,,
"M16 6EG",,,,,,,,
"M16 6EL",,,,,,,,
"M16 6EN",,,,,,,,
"M16 6ES",,,,,,,,
"M16 6EU",,,,,,,,
"M16 6EY",,,,,,,,
"M16 6FJ",,,,,,,,
